gene	S10	S11	S12	S13	S13prime	S14	S15	S16	S17	S18	S19	S1	S20	S20prime	S21	S22	S23	S24	S25	S26	S27	S28	S29	S2	S30	S31	S32	S33	S34	S35	S36	S37	S38	S3	S4	S5	S6	S7	S8	S9
CAGL0A00605g	5.81864540781748	5.84838913712983	5.85539111261059	5.72295529618582	5.72951063980623	5.7913223944237	5.72297541562966	5.70646748956536	5.61270444311518	5.81231876378543	5.95323176467428	5.71514647070329	5.92619779067243	6.01049737759431	5.77663770383955	5.70956782676851	5.94533322277214	5.87530506418753	5.81644805843605	5.89486524322834	5.97352442293208	5.87014001071066	6.01983596471038	5.61165415947017	5.89468303246027	6.22987245098051	6.02257907091472	6.07279766992926	5.92873725993703	5.94664282294729	5.97636638479559	5.88026853800655	6.04282679880593	5.5888463480771	5.71644642351027	5.81367383988315	5.82320979246828	5.96278095584356	5.83706066063924	5.79452417396603
CAGL0A00627g	4.64957919626874	3.95193197681862	3.85240450891569	3.35621941547592	3.53418703276792	3.21581193115209	2.6808756898868	3.15827273273568	2.59062531154668	1.3468188446431	3.93794106294752	7.11888535661658	3.98082455249606	3.6686959900794	3.18893834434165	3.0469244796462	4.20555311600734	4.08904621435145	4.61772771792247	4.28583959880669	4.35469625345541	3.51901463703887	4.46820726570116	7.02404650960249	4.11132911636329	4.54562169559263	4.98265389391932	4.12092116324919	3.93160176175798	4.10814332596249	4.16305035347547	6.79696697422018	7.04061843266395	6.64837256138919	6.68683513532682	6.59909085529298	6.74216460629497	5.17550933250187	5.62137977583081	5.42398502220271
CAGL0A00649g	-0.910477942357777	0.124298381584757	0.120680204258472	-1.01024691803181	0.882771151640812	-0.222092692933061	0.423023759809367	-0.824343962850928	0.0177857773943822	0.178462996483267	0.676410925240506	-3.77980241370787	-0.82641480389399	1.02013345614111	0.838781193450314	-0.119948270276111	0.2143945905182	1.48718721656828	0.85399764676032	1.02231875537113	1.76308314510033	1.11296579094453	-1.16253057441894	-0.733170518097479	1.15325474382108	0.775980830036011	0.578929498027541	1.7244797211763	2.18612889379963	0.0382131527637988	2.35256756910306	-2.25851654002439	-1.12207295637138	-3.77980241370787	-3.77980241370787	0.427228048558635	-3.77980241370787	-1.91225763299993	0.929519478878704	1.05165502356851
CAGL0A00715g	-3.77980241370787	-1.46026524579093	-3.77980241370787	-3.77980241370787	-2.1818160149461	-0.596858457047783	-0.785931509051135	-1.31918511653819	-1.37330718202746	-0.360822800425045	-3.77980241370787	-3.77980241370787	-1.3211304705812	-1.5841868922585	-0.229916364895898	-0.648939279376257	-1.78444294149952	-0.850275831942575	-3.77980241370787	0.0731256191083557	-3.77980241370787	-1.02672140739429	-0.807505147362856	-3.77980241370787	-1.75945964288236	-0.456751562400155	-2.21826742149743	-0.338278899308522	-1.90237618733195	-2.25775852649698	-0.958952708097092	-3.77980241370787	-3.77980241370787	-3.77980241370787	-3.77980241370787	-3.77980241370787	-3.77980241370787	-3.77980241370787	-3.77980241370787	-3.77980241370787
CAGL0A00737g	1.37763591816097	1.26169310255284	1.98604621467077	2.17670192711884	1.96724471484909	2.25697941409258	2.21330051994347	2.11644003853961	2.98236290143126	2.60242817724605	2.57441904650726	1.01132990802076	1.94038583670926	2.17146972756697	2.94778118242233	2.58609447645024	1.64041591938261	2.29028708169921	1.65842220408823	1.58994009149577	1.81096085470084	2.3473900236945	2.02194580732195	1.34506734750898	2.4757192361162	1.92186077833201	0.830196403468621	2.51814783546446	2.09044108060812	0.772557234482326	2.04814907482326	3.26385646776783	3.544933835951	-3.77980241370787	-0.912169864975964	-0.496698747718663	-1.9222666860853	-3.77980241370787	-0.0163607332044378	0.837683175096219
CAGL0A00781g	6.57527341119206	7.17938283898847	7.25818350669934	6.90139360383356	6.84051925474219	6.994992775014	7.51096962932289	7.6100670445482	7.17137296408643	7.21594850034831	7.60322856059568	6.33459962836949	7.80223454525844	7.83492340664503	7.21491815297561	7.13547772988191	7.85538325932777	7.01541901681021	7.80513722708482	7.95263604848043	6.97794106854852	7.09555368096561	7.74033261281002	6.20109418542907	6.89380001939142	7.50308483870329	7.58527111105515	6.88195651966685	7.0516025201041	7.57755105119259	7.09871318812267	6.99632488282776	6.9785770141565	6.17602551887439	6.27747771614799	6.27900970038156	6.32401816616826	6.74303041156254	6.86287749157388	6.5202919143794
CAGL0A00803g	6.55075012515973	6.63400802455593	6.58402341055451	6.29368433410476	6.44302118860299	6.4519733638086	6.54523277384291	6.51942152896798	6.45563429703302	6.50434740847205	6.52060929475824	6.36892050987251	6.64291091100133	6.44540997795844	6.30656275628449	6.53266383878338	6.61862086768368	6.40602836422532	6.4365432556942	6.59785485862565	6.48047608860263	6.62839708804221	6.53807578907387	6.19068791482057	6.51519337507832	6.48705907306296	6.55016802996106	6.4675817560422	6.77980712443761	6.47687873640029	6.76437279652633	6.1418932383441	6.16963442974328	6.40408190271312	6.30702335799116	6.25918362297773	6.30322875059117	6.49723344703895	6.57483208276708	6.40341243600542
CAGL0A00825g	5.7184040671914	5.88432353067234	5.72311525120511	5.67590871227844	5.7454745296066	5.74985849950469	5.55416437155305	5.36566492595732	5.59411664241541	5.57658367147579	5.7166764255521	6.17887720038433	5.54119858587162	5.71713403372902	5.41988090884187	5.42180411655352	5.52576497030364	5.37830989467248	5.26411891143565	5.41633732953428	5.30692813165417	5.56084912790861	5.24180099818368	5.95278625650636	5.46153202150278	5.40507827667203	5.32708237753741	5.30970002496485	5.32841657874211	5.2044269707195	5.54833387636049	6.00787295747401	5.93755176332623	6.0912246601669	5.92681978084818	6.19801627276485	6.19076754208331	5.9761032575577	6.1036370374449	5.89492367060154
CAGL0A00847g	3.3140685971881	2.90373788703945	3.55322329583735	3.0218811017084	3.18204669798018	3.05488575225395	3.64368404549759	3.44563860318315	2.92402290069575	3.3657717860375	3.66805627712306	6.10952726752028	3.28267106557499	3.72666748514191	4.0536526854219	3.99015761067703	4.17113390006791	4.44341332931039	4.39793368286542	4.7037063345466	4.44849414878181	4.61629223876675	4.11046665123911	5.58010859448603	4.44683919058739	3.70927812671653	4.48423351188646	4.71624044717774	4.72010583341946	4.65250418951909	4.81104928873792	5.53525440799046	5.41284311004002	5.47869635686742	5.36963943324128	5.3114984790625	5.44086870519405	3.63418984644203	4.17679003712317	3.72424909679835
CAGL0A00869g	4.75760905390068	5.11506003726075	5.09700691977844	4.91419819942414	4.95044983268226	4.75180909460364	5.44081843597164	5.52314051639296	5.50737414951369	5.05531662108224	5.7226420731485	5.60427510528914	5.77481804565661	5.57445851912356	5.89480679564042	5.75177560208446	6.05321745394927	6.1248191314071	6.33686487913615	6.37114922505335	6.45056048428144	6.60380588607236	6.3764916060978	5.33126359734219	6.49159976730268	6.09103754986163	6.27638022648316	6.55832839071356	6.79506381888421	6.45910953144597	6.79911521003367	5.47910033933805	5.23172663440089	5.77124010482399	5.9643896375721	5.3569788271438	5.71718589455253	4.96000103275299	5.35698195206789	5.13821779005176
